word,frequency
containing,45
contains,38
condition,91
conditions,180
conditioned,20
conduct,55
conducted,55
conductor,25
congress,152
congressional,22
congressman,21
congregation,47
congo,57
consider,127
considered,151
considerable,96
considerably,44
consideration,49
considerations,31
considering,47
consists,43
consistent,28
consisted,24
consisting,27
construction,95
constructed,37
constant,71
constantly,41
constitution,49
constitutional,25
constitute,29
conscious,46
consciousness,30
conscience,40
consumer,38
consequence,30
consequences,35
consequently,31
conservative,31
conspiracy,22
concern,98
concerned,135
concerning,62
concerns,43
concert,39
concerts,26
concept,85
conception,32
concepts,27
concentration,47
concentrated,30
conceived,27
conclusion,59
conclusions,36
concluded,32
concrete,48
conference,96
conferences,25
confidence,56
confirmed,20
conflict,52
confusion,44
confused,44
confronted,32
connection,69
connected,33
convention,28
conventional,51
convenient,22
conversation,50
conversion,21
converted,20
conviction,50
convictions,20
convinced,50
corn,34
corner,115
corps,110
corporation,90
corporations,25
correct,52
corresponding,38
correspondence,25
core,43
cover,88
covered,104
covering,32
covers,32
coverage,25
cook,100
cooking,32
cool,62
cooling,42
coolidge,26
cooperation,39
cooperative,20
coffee,78
coast,61
coat,43
coating,36
coal,32
coach,24
co.,48
code,39
cotton,38
copy,38
cope,21
cow,29
cocktail,25
city,393
city's,21
cities,107
citizen,30
citizens,86
cited,24
civil,91
civilization,42
civilian,24
civic,23
circumstances,84
circuit,23
circular,21
circle,60
circles,32
cigarette,25
child,213
children,355
children's,23
childhood,50
child's,33
chief,119
chiefly,22
chicago,98
chicken,37
chin,25
china,69
chinese,56
church,348
churches,96
change,240
changes,131
changed,95
changing,44
chance,131
chances,24
chandler,32
channels,23
charge,122
charged,57
charges,45
character,118
characteristic,68
characteristics,52
characterized,21
characters,36
charles,96
charlie,48
chart,22
charter,33
charm,26
charming,24
chapter,73
chapel,20
chair,66
chairman,67
chairs,23
chain,50
chaitanya,100
chamber,46
champion,23
challenge,36
christ,97
christian,144
christianity,31
christmas,27
christ's,20
choice,113
chose,37
chosen,71
choose,50
cholesterol,21
check,88
checked,31
chemical,60
chest,53
cheap,24
cheek,20
chlorine,33
certain,313
certainly,143
certainty,21
cent,155
center,224
centers,52
century,207
centuries,46
central,165
cents,26
cell,65
cells,81
cellar,26
ceiling,31
close,234
closed,106
closely,66
closer,61
closing,28
cloth,43
clothes,89
clothing,20
cloud,28
clouds,38
clock,20
clear,219
clearly,128
cleared,23
clean,69
cleaning,37
clerk,34
class,207
classes,85
classic,36
classical,33
classification,21
clay,100
clayton,27
claim,98
claims,74
claimed,35
clark,35
clarity,28
club,145
clubs,24
climbed,44
climate,26
clinical,27
cut,192
cutting,66
cuts,30
current,104
currently,34
curious,46
curiosity,23
curve,45
curt,32
cure,28
culture,58
cultural,55
cuba,47
cup,45
customer,27
customers,40
c.,93
crisis,82
crises,21
critic,25
critical,58
criticism,40
critics,26
crime,35
criminal,24
cried,30
create,54
created,81
creative,49
creation,46
creating,29
creatures,20
cream,20
credit,64
crew,36
cross,55
crossed,42
crossing,21
crowd,53
crowded,32
cromwell,21
crop,20
cry,48
crystal,23
crazy,34
craft,23
crack,21
crash,20
crawled,20
crucial,30
cycle,24
),2466
(,2435
us,675
use,2350
used,611
uses,59
useful,58
usual,96
usually,206
using,145
up,1890
upon,495
upper,72
upstairs,28
upward,27
under,707
understand,137
understanding,121
understood,58
underlying,20
undoubtedly,24
unit,103
united,482
units,87
unity,71
university,214
universities,32
universe,71
universal,45
union,182
unions,29
unique,58
uniform,51
until,461
unless,101
unlike,42
unlikely,21
unusual,63
uncle,57
unconscious,30
uncertain,22
unable,54
unknown,47
unfortunate,22
unfortunately,33
unhappy,26
unexpected,23
uneasy,22
u.,62
u.s.,162
u.n.,52
ultimate,59
ultimately,23
urban,42
urge,21
urged,35
urgent,21
urethane,26
utility,29
utterly,27
utopia,24
utopian,21
ugly,21
e,40
each,2250
ear,29
early,366
earlier,146
earliest,22
earth,150
ears,38
east,183
eastern,32
easy,124
easily,107
easier,51
ease,42
eat,61
eating,32
eager,27
even,1170
evening,133
event,81
events,101
eventually,52
ever,344
every,491
everything,185
everyone,94
everybody,72
everywhere,47
evidence,204
evident,56
evidently,25
evil,72
evaluation,31
enough,430
enormous,37
end,409
ends,67
ended,60
ending,31
endless,20
english,195
england,154
engine,50
engineer,42
engineering,46
engineers,33
engaged,47
engagement,22
entire,149
entirely,91
entitled,56
enter,78
entered,98
enterprise,31
entertainment,29
entering,24
entrance,57
entry,26
enthusiasm,28
enthusiastic,24
energy,100
enemy,88
enemies,27
enjoy,44
enjoyed,57
enjoyment,21
encourage,46
encouraged,29
encouraging,23
encounter,28
encountered,30
environment,43
envelope,21
enable,23
enforced,20
eye,122
eyes,401
example,292
examples,53
examine,33
examined,28
examination,29
exact,27
exactly,103
experience,276
experiences,53
experienced,53
experiment,63
experiments,66
experimental,38
expert,30
experts,38
expect,108
expected,187
expectations,23
expects,22
expense,50
expenses,47
expensive,44
expenditures,45
explain,64
explained,80
explains,20
explanation,43
exploration,25
explicit,24
express,42
expression,79
expressing,24
expressed,75
expansion,47
expanding,28
expanded,20
exposed,34
exposure,25
except,181
exception,40
exceptions,26
excellent,68
excess,42
excessive,30
exchange,70
excitement,32
excited,23
exciting,29
exclusive,28
exclusively,24
excuse,28
extent,110
extend,31
extended,55
extending,29
extensive,44
extension,36
external,43
extreme,62
extremely,50
extra,50
extraordinary,31
exist,59
existence,107
existed,40
existing,60
exists,42
exercise,58
exercises,23
executive,55
exhibit,25
exhibition,22
either,284
eight,104
eighth,23
eighteenth,22
eisenhower,50
eileen,26
economic,243
economical,22
economy,79
ecumenical,29
education,214
educational,70
educated,21
edge,78
edges,37
editor,77
editorial,42
edition,37
edward,45
eddie,30
effect,213
effective,129
effectively,37
effectiveness,32
effects,108
effort,145
efforts,127
efficiency,50
efficient,32
el,20
else,176
elsewhere,45
element,52
elements,107
election,77
elections,51
electron,29
electronic,68
electronics,32
electric,68
electrical,46
electricity,26
elected,33
eleven,40
elaborate,32
elaine,22
eliminate,26
eliminated,22
equipment,167
equipped,36
equivalent,46
equal,90
equally,62
equation,33
especially,162
establish,58
established,108
establishment,52
establishing,26
estate,51
estimate,39
estimated,67
estimates,24
essential,81
essentially,47
escape,65
europe,118
european,61
eugene,25
e.,86
e.g.,32
emotion,34
emotional,68
emotions,43
employee,24
employees,66
employed,49
employment,47
empty,64
emphasis,58
emphasize,20
empirical,23
empire,22
emergency,39
emerged,26
emission,32
et,30
etc.,58
eternal,29
ethical,29
error,36
errors,44
era,30
eggs,35
ekstrohm,26
more,2215
moreover,88
morning,211
moral,142
morality,29
morgan,72
morse,29
morris,21
most,1159
mostly,44
moscow,47
money,265
month,130
months,189
monthly,23
monday,68
monument,21
moment,246
moments,50
mother,216
mother's,36
mothers,25
motor,56
motors,50
motion,55
motive,22
motives,20
motel,24
mode,21
modern,198
moderate,22
model,77
models,47
modest,29
move,171
moved,181
movement,128
movements,47
moves,36
moving,114
movie,29
movies,31
mouth,103
mount,26
mounted,45
mountain,33
mountains,43
moon,60
mood,37
moore,24
mold,45
mobile,44
man,1207
many,1650
man's,125
manner,124
manage,20
management,91
manager,88
managers,24
managed,36
mantle,48
manufacturer,23
manufacturers,47
manufacturing,24
manchester,44
mankind,39
manhattan,20
may,1402
maybe,133
mayor,38
make,1250
makes,172
making,255
mad,39
made,1125
madison,23
matter,308
matters,64
mate,21
material,174
materials,97
match,41
matching,33
maturity,39
mature,31
matsuo,35
mathematical,24
mathematics,20
major,247
majority,57
mark,83
market,155
marketing,43
markets,31
marked,85
marks,28
march,121
married,105
marriage,95
marriages,27
mary,87
maryland,23
martin,55
marine,55
maris,36
mars,21
marshal,26
marshall,27
marginal,26
marble,21
main,119
maintenance,64
maintain,60
maintained,48
maintaining,28
mainly,31
mail,47
maid,31
machine,103
machinery,60
machines,54
mass,98
massachusetts,50
massive,33
masses,21
master,72
masters,24
mason,24
maximum,79
mama,44
magazine,39
magazines,25
magic,37
magnitude,29
magnificent,27
magnetic,25
maggie,23
male,37
maude,21
my,1318
myself,129
mystery,39
mysterious,26
myth,35
myra,27
me,1181
men,763
mention,50
mentioned,79
mental,43
member,137
members,325
membership,73
memory,76
memorial,23
mean,199
means,310
meaning,127
meaningful,24
meanings,22
meant,100
meanwhile,35
measure,91
measured,66
measurement,34
measurements,54
measures,49
measuring,30
meat,45
meal,30
meals,26
medical,162
medicine,30
medium,45
meet,149
meeting,159
meetings,28
meets,35
met,132
method,142
methods,142
metal,61
metropolitan,34
mere,47
merely,135
mercer,71
merchant,20
merchants,22
mercy,20
merit,29
merger,21
mess,22
message,64
mechanical,34
mechanism,28
mexican,24
melting,22
melody,21
must,1013
mustard,20
music,216
musical,85
musician,23
musicians,41
muscle,42
muscles,31
museum,32
much,937
murder,75
multiple,36
mud,32
municipal,28
mutual,26
mr.,844
mrs.,534
might,672
mighty,29
mind,325
minds,56
minute,55
minutes,196
minimum,68
minimal,27
minister,61
mine,59
mines,28
minor,58
minority,20
miss,253
mission,78
missile,48
missiles,32
mississippi,39
missing,33
missed,40
missouri,21
mistake,34
military,212
million,204
millions,49
milligrams,21
mills,32
miller,22
mile,48
miles,173
milk,49
middle,118
middle-class,22
midnight,23
mike,91
mixed,37
mixture,30
miriam,30
mirror,27
mickey,29
michigan,21
michelangelo,20
mitchell,26
miami,22
m.,62
d,50
do,2100
down,895
downtown,41
don,23
don't,489
done,319
donald,20
does,485
doesn't,88
door,312
doors,36
doing,163
doubt,114
doubtful,22
double,56
douglas,23
doc,20
doctor,100
doctors,30
doctrine,46
dollar,46
dollars,97
dolores,20
dog,75
dogs,70
dominant,65
dominated,20
domestic,63
dozen,52
di,22
did,1044
didn't,401
different,312
difference,148
differences,79
difficult,161
difficulty,76
difficulties,46
diffusion,24
direct,129
directly,141
direction,134
directions,30
director,101
directed,68
dirt,43
dirty,36
district,135
districts,38
distribution,85
distributed,27
distance,108
distant,37
distinguished,42
distinct,42
distinction,41
distinctive,20
disturbed,26
discuss,28
discussion,94
discussions,32
discussed,65
discover,40
discovered,73
discovery,45
discipline,27
discrimination,23
disease,53
display,41
displays,21
displayed,21
displacement,23
dispute,34
disposal,20
disappeared,35
disaster,26
disk,25
dishes,21
division,107
divided,55
divine,34
divorce,29
dive,23
dinner,91
dining,28
die,73
died,86
diet,21
dictionary,57
diameter,45
dignity,35
dimensions,30
diplomatic,28
dilemma,25
day,687
days,384
dark,185
darkness,43
dartmouth,30
dare,21
data,173
date,103
dates,30
daily,122
dan,27
dance,90
dancer,31
dancers,31
dances,23
dancing,43
danger,70
dangerous,46
daughter,72
dallas,58
david,51
davis,27
dave,31
damage,33
damn,32
dawn,28
du,71
during,585
due,142
dust,70
duty,61
duties,34
dull,27
de,122
develop,89
development,334
developments,44
developed,170
developing,52
device,55
devices,37
devil,25
devoted,51
death,277
dead,174
deal,143
dealing,43
dealer,25
dealers,30
dealt,22
dear,54
dean,40
department,225
departments,25
depth,53
depend,45
depends,49
dependent,40
depending,32
depression,24
defense,167
defend,21
defeat,31
define,27
defined,39
definition,38
definite,37
definitely,21
decide,40
decided,141
decision,119
decisions,54
declared,66
declaration,24
decline,31
december,62
decent,20
decade,46
decades,34
deck,23
degree,125
degrees,23
describe,41
described,120
describes,22
description,54
design,114
designed,108
designs,28
desire,79
desired,50
desires,24
desirable,36
despite,104
desperate,26
desperately,22
despair,21
desk,65
destroy,48
destroyed,39
destruction,38
destructive,25
destiny,22
desegregation,40
desert,21
determine,107
determined,119
determination,39
determining,33
detergent,25
detective,52
detail,72
details,57
detailed,52
detroit,21
democratic,109
democrats,40
democracy,24
demonstrate,28
demonstrated,33
demonstration,25
demand,102
demands,55
demanded,42
deep,109
deeply,39
deeper,37
deegan,22
denied,47
deny,47
density,31
derived,39
delivered,37
deliberately,30
delight,29
delightful,26
delicate,27
delaware,27
delay,21
delayed,25
debate,32
dedicated,23
dedication,21
dr.,192
drive,105
driver,49
drivers,24
driven,44
driving,53
drink,82
drinking,48
drinks,22
drill,33
dried,28
drop,59
dropped,101
drove,62
draw,56
drawn,70
drawing,40
drawings,21
drama,43
dramatic,63
draft,24
dry,68
drying,29
drew,68
dress,67
dressed,36
dressing,22
dream,64
dreams,30
drunk,37
drug,24
drugs,28
d.,65
d.c.,25
dying,34
dynamic,21
:,1795
!,1596
like,1292
likely,151
liked,58
little,831
literature,133
literary,78
literally,27
life,715
lift,23
lifted,43
light,333
lights,47
lightly,31
lighted,29
lighting,23
line,298
lines,198
linear,21
lincoln,47
linda,42
living,194
live,177
lived,115
lives,81
lively,26
list,133
listen,51
listening,39
listened,30
listeners,20
listed,44
lists,34
limit,48
limited,106
limits,41
limitations,28
lips,69
liberal,69
liberals,26
liberty,46
library,62
libraries,28
lie,59
lies,44
lieutenant,29
liquid,48
liquor,43
license,36
lo,22
long,752
longer,193
long-range,42
long-term,32
london,89
lonely,25
look,470
looked,367
looking,173
looks,78
loose,53
loop,21
local,288
located,64
location,63
lock,24
locking,31
locked,30
love,231
loved,56
lovely,44
low,173
lower,123
lowered,21
los,51
lost,173
loss,86
losses,46
lose,58
losing,28
lot,127
lots,42
lord,93
louis,73
louisiana,30
loud,20
loan,46
loans,32
load,45
loaded,22
logical,34
loyalty,22
lobby,20
la,52
last,676
late,179
later,397
latest,35
latter,114
latin,50
large,361
larger,123
largely,68
largest,53
law,299
laws,88
lawyer,43
lawyers,23
lawrence,39
land,218
landing,26
lands,25
landscape,20
language,109
languages,40
lane,30
labor,149
laboratory,40
lay,139
lack,110
lacking,32
lady,80
ladies,28
laid,77
laos,64
lake,54
laugh,28
laughed,51
laughing,28
laughter,22
launched,21
laura,20
left,480
less,437
lesson,29
let,384
letter,145
letters,115
letting,31
let's,69
least,343
leave,205
leaves,49
leaving,88
lead,129
leader,74
leaders,107
leadership,92
leading,68
leads,33
learn,84
learned,117
learning,60
league,69
lean,20
leaned,38
leather,24
leaped,20
level,213
levels,69
led,132
length,116
lengths,23
leg,58
legal,72
legs,67
legislation,46
legislative,40
legislature,39
legislators,20
legend,26
lewis,57
lee,34
l.,56
luck,47
lucky,21
lucy,45
lumber,35
lunch,33
luncheon,23
luxury,21
lying,36
v,27
very,900
version,53
verse,28
vernon,21
vermont,21
verbal,21
vehicle,35
vehicles,53
veteran,27
velocity,26
vein,25
voice,226
voices,38
volume,135
volumes,44
volunteers,29
voluntary,22
vocational,77
vote,75
voted,27
voters,20
votes,20
voting,30
various,201
variety,85
varied,42
variable,36
variables,26
variation,32
variations,23
vary,34
varying,42
value,200
values,186
valuable,45
valley,73
valid,22
vast,61
vacation,47
vacuum,20
van,32
vague,25
view,186
views,51
viewed,25
vienna,22
visit,109
visited,41
visiting,36
visitors,36
vision,56
visible,34
visual,40
virgin,35
virginia,75
virtually,41
virtue,30
village,72
victor,23
victory,61
victim,27
vice,41
vital,56
via,48
violence,46
violent,33
vigorous,29
vivid,25
v.,31
just,872
justice,114
justify,26
justified,23
june,99
junior,75
juniors,31
jungle,20
judge,77
judges,20
judgment,59
judgments,27
jury,67
jurisdiction,29
july,66
julia,27
jump,24
jumped,35
john,362
johnson,34
johnston,21
johnny,30
johnnie,26
john's,21
job,238
jobs,65
jones,72
join,65
joined,56
joint,39
joseph,55
joe,55
journal,42
journey,28
joy,40
joyce,21
joke,22
j.,120
james,101
jazz,99
jack,92
jackson,36
jacket,33
japan,38
japanese,53
january,53
jane,35
jan.,20
jail,21
jr.,75
jew,26
jewish,74
jews,54
jesus,63
jess,33
jet,29
jefferson,27
jersey,25
jean,23
jim,36
p,76
people,847
peoples,36
per,371
perhaps,307
period,265
periods,47
person,174
personal,196
personality,48
personally,40
persons,121
personnel,75
perspective,26
persuaded,21
perform,29
performance,122
performances,33
performed,35
perfect,58
perfectly,31
permit,77
permitted,57
permits,27
permission,27
permanent,40
percent,53
percentage,46
perception,29
pertinent,21
peace,198
peaceful,26
peas,24
pennsylvania,45
penny,25
pencil,34
pete,23
peter,36
petitioner,29
peculiar,28
peered,20
place,570
placed,126
places,100
placing,27
plan,205
planning,129
planned,75
plant,125
plants,59
plane,114
planes,26
planet,21
planets,22
planetary,21
plans,113
play,200
played,104
player,51
players,29
playing,101
plays,66
platform,72
plate,22
plates,23
plain,48
plastic,32
plastics,31
plaster,23
plus,72
plug,23
pleasure,62
please,62
pleased,41
pleasant,38
plenty,55
plot,37
pa,23
part,500
party,216
particular,179
particularly,146
particle,21
particles,42
participation,41
participate,22
parties,59
partially,25
partisan,21
parts,113
partly,49
partner,32
part-time,26
park,94
parker,63
parked,33
parking,31
parks,20
parents,91
paris,67
parallel,40
parade,25
past,281
pass,89
passed,157
passes,27
passengers,21
passing,65
passion,28
passage,49
passages,20
pay,172
payment,53
payments,49
paying,26
paper,157
papers,51
papa,40
paid,145
pain,88
paint,37
painting,59
paintings,36
painted,40
painter,21
painful,25
pair,50
pat,35
pattern,113
patterns,47
patient,86
patients,36
patient's,21
patience,22
path,44
pathology,33
patent,35
patchen,26
patrol,25
page,66
pages,31
pale,58
palm,22
palmer,56
palace,38
palfrey,26
panel,31
panels,46
panic,22
pace,43
pacific,31
pack,25
package,20
paul,38
pause,21
paused,28
public,438
publication,55
publications,23
publicity,27
publicly,27
published,89
put,437
putting,54
puts,20
purpose,149
purposes,90
pure,56
purely,30
purchase,47
purchased,20
pursuant,27
pursue,20
pull,51
pulled,73
pulling,25
pulmonary,27
push,37
pushed,53
pupil,20
pupils,25
puerto,24
punishment,21
point,395
points,143
pointed,74
pointing,26
possible,374
possibly,61
possibility,87
possibilities,42
possessed,22
possession,21
position,241
positions,54
positive,74
post,85
posts,22
power,342
powers,73
powerful,63
powder,28
political,258
politics,69
policy,222
police,155
policies,68
poland,33
polynomial,28
population,136
popular,98
pope,40
poor,113
pool,111
poet,99
poetry,88
poets,32
poetic,31
poem,48
poems,82
pot,28
potential,67
port,21
portion,62
portland,24
porch,43
pocket,46
pound,28
pounds,44
poured,29
pont,35
pond,25
podger,21
poverty,20
program,394
programs,139
progress,120
problem,313
problems,247
probably,261
probable,25
probability,35
probabilities,20
provide,216
provided,132
provides,81
providence,80
providing,59
provision,47
provisions,39
prove,53
proved,71
process,196
processes,57
processing,38
procedure,79
procedures,61
proceeded,25
procurement,21
proper,95
property,156
properties,66
properly,55
proposed,84
proposal,41
proposals,29
proportion,29
propaganda,30
product,87
production,148
productive,25
products,108
produce,82
produced,90
producing,35
profession,37
professional,105
professor,57
profit,28
profits,21
profound,27
project,93
projects,68
protect,34
protection,68
protected,31
protest,23
protestant,51
protein,21
proud,50
promise,45
promised,45
promises,20
promising,24
prominent,40
promote,32
promotion,26
promptly,28
proof,40
prokofieff,33
prospect,25
prospects,24
prospective,21
president,382
presidential,34
president's,28
present,377
presented,82
presently,35
presentation,33
presents,33
presence,76
preserve,35
press,127
pressure,185
pressures,38
pressed,29
pressing,25
presumably,40
prestige,29
pretty,107
prepare,35
prepared,102
preparation,54
preparing,22
previous,86
previously,58
prevent,83
prevented,27
prevention,27
precise,33
precisely,48
precision,46
precious,29
preceding,30
prefer,27
preferred,26
premier,26
preliminary,24
private,191
principle,109
principles,71
principal,92
prince,33
printed,36
price,108
prices,61
primary,96
primarily,64
prime,45
primitive,38
prior,47
pride,42
prison,42
prisoners,21
prize,28
practice,94
practices,53
practical,68
practically,53
prayer,28
prairie,21
picture,162
pictures,68
pick,55
picked,78
piece,129
pieces,92
pink,48
pilot,44
pile,25
pike,41
piano,38
pistol,27
pittsburgh,25
pitch,22
pitcher,21
pip,23
pipe,20
pioneer,20
physical,138
physically,20
physics,22
physiological,22
phil,65
philosophy,86
philosophical,26
philadelphia,50
philip,21
phase,72
phases,24
phone,54
phenomenon,35
phenomena,26
phrase,34
p.,58
p.m.,63
psychological,41
go,680
good,806
goods,57
got,482
government,418
governments,61
governmental,23
governor,83
governing,21
going,399
god,316
god's,38
gone,195
goes,89
goal,60
goals,40
gold,52
golden,42
golf,34
gorton,32
get,780
getting,164
gets,66
general,498
generally,132
generation,55
generations,23
generous,25
genuine,34
gently,31
gentle,27
gentleman,28
gentlemen,21
genius,23
gen.,23
george,129
georgia,46
german,85
germany,81
germans,27
gesture,32
gear,26
great,665
greater,188
greatest,88
greatly,62
green,116
greenwich,27
greek,61
greeted,20
grew,64
greg,26
group,390
groups,125
ground,186
grounds,58
grow,63
growth,155
growing,108
grown,43
grows,22
gross,66
gray,80
grant,47
granted,56
grants,20
grand,48
grass,53
gradually,51
graduate,30
grade,35
grades,23
grace,40
grave,33
grain,27
grains,20
grateful,25
grabbed,20
grinned,30
grip,20
give,389
given,377
gives,114
giving,96
girl,220
girls,142
gift,33
gin,23
giant,23
giants,21
gave,285
game,123
games,55
gas,99
gain,74
gained,39
garden,60
gardens,32
garage,21
gate,37
gather,20
gathered,32
gathering,28
gallery,31
gay,30
gang,22
gun,118
guns,42
guest,39
guests,62
guess,56
guy,51
guys,20
guard,48
guidance,40
guide,36
guided,20
guilt,33
guilty,29
gulf,22
glass,99
glasses,29
glance,40
glanced,25
glad,38
glory,21
g.,42
gyro,26
know,683
known,245
knowledge,145
knows,99
knowing,50
knocked,31
knew,395
knee,35
knees,38
knife,76
kind,313
kinds,36
king,88
kingdom,26
kitchen,90
kill,63
killed,75
killer,21
killing,23
kid,61
kids,32
keep,264
keeping,60
keeps,21
kept,186
kennedy,140
kennedy's,26
key,88
keys,34
keith,21
khrushchev,68
kate,41
katanga,21
kansas,31
kay,21
r,38
right,613
rights,77
rigid,24
river,165
rise,102
rises,20
rising,62
risk,54
rich,74
richard,71
rice,33
rico,21
rifle,63
rifles,23
ride,49
riding,45
ring,47
ritual,25
room,384
rooms,55
roof,59
root,30
roots,27
roosevelt,28
road,197
roads,58
role,104
roles,34
roll,34
rolled,48
rose,86
robert,83
roberts,37
robinson,38
rock,75
rocks,23
round,75
route,43
routine,35
rough,41
roughly,25
rome,70
roman,58
romantic,32
roy,37
royal,48
rode,40
row,35
rather,373
rate,209
rates,102
ratio,36
rational,25
ran,134
rang,21
range,157
ranging,30
random,38
ranch,27
rank,24
ranks,20
radio,120
radiation,97
radical,30
radar,23
race,103
races,21
rachel,42
racial,25
racing,22
raise,52
raised,101
raising,34
rain,70
railroad,58
rapid,43
rapidly,65
raw,43
rare,41
rarely,41
rayburn,39
ramey,28
ralph,22
real,258
really,275
reality,79
realize,69
realized,69
realization,24
realistic,34
realism,24
reason,241
reasons,103
reasonable,64
reasonably,34
read,174
ready,143
reading,141
readily,43
reader,43
readers,37
reach,105
reached,169
reaches,25
reaching,43
reaction,124
reactions,42
reactionary,20
rear,51
result,244
results,149
resulting,43
resulted,37
resumed,23
research,171
reserve,37
reserved,27
rest,163
restaurant,41
restrictions,27
respect,125
respectively,31
respects,22
respectable,21
responsibility,118
responsibilities,25
responsible,71
response,77
responses,28
respond,21
responded,20
resources,72
resolution,64
resolved,21
resist,22
resistance,48
residential,45
residents,20
residence,29
red,197
reduce,62
reduced,79
reduction,42
reducing,31
require,86
required,182
requirement,27
requirements,83
requires,57
request,49
return,180
returned,115
returning,35
returns,34
retired,35
retirement,26
retained,22
retail,20
recent,179
recently,123
receive,76
received,163
receives,20
receiving,34
reception,38
record,137
records,91
recorded,43
recording,31
recognize,62
recognized,80
recognition,44
recommend,25
recommended,46
recommendation,24
recommendations,22
recovery,29
recreation,43
recall,39
recalled,26
rector,33
report,174
reported,119
reporter,20
reporters,34
reports,84
repeat,26
repeated,59
replied,57
replace,30
replaced,42
replacement,21
reply,42
represent,38
represented,56
representative,47
representatives,41
represents,39
representing,30
republic,43
republican,54
republicans,29
reputation,27
repair,20
religious,165
religion,119
relief,66
relieved,24
reliable,22
relation,63
relations,102
relationship,88
relationships,38
relative,46
relatively,85
relatives,22
relating,20
related,102
release,37
released,26
relevant,23
remember,138
remembered,83
remain,93
remained,106
remains,84
remaining,41
remark,31
remarks,53
remarkable,47
remarked,32
remove,58
removed,75
removal,41
remote,32
reminded,29
regard,89
regarded,56
regarding,40
regardless,38
regular,83
regularly,22
regulations,29
region,76
regional,42
regions,40
register,26
registered,23
registration,23
regime,23
regiment,25
revolution,70
revolutionary,21
review,56
reveal,30
revealed,39
reveals,21
revenue,35
revenues,26
reverend,21
rev.,22
refer,27
reference,67
referred,45
refused,60
refund,22
reflect,25
reflected,42
reflection,32
reflects,23
reform,30
refrigerator,23
rejected,33
rendered,28
rent,21
renaissance,20
reorganization,27
rehabilitation,22
run,212
running,123
runs,55
rule,73
rules,85
ruled,31
ruling,24
russ,21
russia,72
russian,80
russians,31
rush,20
rushed,27
rural,54
ruth,23
rhode,105
rhythm,22
r.,61
1,527
19,32
1960,172
1961,134
1962,35
1959,102
1958,91
1957,48
1954,46
1952,31
1956,28
1955,28
1953,26
1950,21
1951,20
1948,21
1946,20
1949,20
10,152
100,77
15,113
12,96
11,62
14,56
18,55
16,54
13,49
17,41
2,446
20,92
200,38
25,82
24,48
21,47
23,47
22,46
26,32
27,26
29,23
28,21
3,287
30,112
300,25
31,38
34,21
q,46
quite,281
quick,68
quickly,89
quiet,76
quietly,49
quiney,23
question,257
questions,140
questionnaire,37
questioned,29
questioning,21
queen,41
quality,114
qualities,45
qualified,24
quarter,34
quarters,28
quarrel,20
quantity,33
quoted,26
4,206
40,40
&,163
5,142
50,61
6,114
60,46
8,106
7,94
70,24
75,20
9,62
**zg,32
zen,26
zero,24
0,22
